Cat Island (South), Cat Island, Bahamas:21.988779602668703
Richmond, NS, Canada:17.97103676152774
Rock Creek, BC, Canada:21.905967016300682
Salt Spring Island, BC, Canada:21.049471686982287
San Josef Bay, BC, Canada:21.99999999864131
Sechelt, BC, Canada:19.6903928277417
Shawnigan Lake School Observatory, BC, Canada:20.90814317494035
Sproat Lake (east), BC, Canada:21.810486722629363
Stake Lake Observatory, BC, Canada:21.61729783234576
Summerland, BC, Canada:20.255732455273083
Tantalus Lookout, BC, Canada:20.93623856604902
Tatlayoko Lake, BC, Canada:20.93623856604902
Trottier Observatory, BC, Canada:18.106283919176295
UBC Forest Site, BC, Canada:18.366349379368977
UBC Liquid-Mirror Observatory, BC, Canada:18.296847840106565
Ucluelet, BC, Canada:20.68824370158221
University of British Columbia, BC, Canada:20.93623856604902
Vancouver, BC, Canada:17.05282968525734
Vanderhoof, BC, Canada:19.714537548807325
Vernon, BC, Canada:16.82459103953031
Walloper Lake, BC, Canada:20.93623856604902
West Vancouver, BC, Canada:18.450600669248022
White Rock, BC, Canada:19.326244288332102
Wren Park, BC, Canada:18.686927405361534
Churchill Northern Studies Centre, MB, Canada:21.939444095844934
Clearwater Lake, MB, Canada:17.59507821917617
Dominion City, MB, Canada:20.93623856604902
Flin Flon, MB, Canada:19.523321800817
Grand Beach, MB, Canada:20.93623856604902
Grand Rapids, MB, Canada:17.485145896943052
Lake Manitoba Narrows, MB, Canada:21.998507745773487
Minnedosa, MB, Canada:20.24987571582055
Norway House, MB, Canada:21.71066094372865
Oak Hummock Marsh Interpretive Center, MB, Canada:20.69310971128297
Portage La Prairie, MB, Canada:18.740342120976187
Sandilands Observatory, MB, Canada:20.93623856604902
Seddon's Corner, MB, Canada:21.46782445087016
Shoal Lake, MB, Canada:20.93623856604902
Snow Lake, MB, Canada:19.832107721808978
Spruce Woods Provincial Park, MB, Canada:21.835347330344987
St. Malo Provincial Park, MB, Canada:18.721145319187272
Thompson, MB, Canada:19.379876923987663
Victoria Beach, MB, Canada:18.922790554576423
Whiteshell Provincial Park, MB, Canada:21.936503628374478
Winnipeg, MB, Canada:16.688700275434396
Alma, QC, Canada:20.43217619272901
Bouctouche, NB, Canada:20.193062071458414
Cambridge Narrows, NB, Canada:21.648174640504035
Dalhousie, NB, Canada:21.35193117204936
Fredericton, NB, Canada:18.69827920939154
Fundy National Park, NB, Canada:20.93623856604902
Grand Manan Island, NB, Canada:21.824205418174287
Hopewell Rocks Provincial Park, NB, Canada:21.664577406395573
Irving Nature Park, NB, Canada:20.93623856604902
Kouchibouguac National Park, NB, Canada:20.93623856604902
Mactaquac Provincial Park, NB, Canada:21.17841000091297
Miramichi (Bay du Vin), NB, Canada:21.395457923390016
Miramichi City (Newcastle), NB, Canada:19.57299006093312
Miramichi City (Newcastle), NB, Canada:19.57299006093312
Miscou Island, NB, Canada:21.800749396415426
Moncton, NB, Canada:18.019345675461892
Mount Carleton Provincial Park, NB, Canada:21.97970477044005
Port Elgin, ON, Canada:19.844501862189286
Quispamsis, NB, Canada:20.297861996552548
Saint John, NB, Canada:18.135417978638415
Shediac River Observatory, NB, Canada:20.991705345697785
St. Andrews, NB, Canada:19.695550005639014
Upper Gagetown, NB, Canada:21.413261087553536
Woodstock, ON, Canada:17.89024568305295
Bay Roberts, NL, Canada:19.983889732211818
Butter Pot Park, NL, Canada:20.93623856604902
Deer Lake, NL, Canada:19.832107721808978
Gander, NL, Canada:19.09099921146984
Grand Falls-Windsor, NL, Canada:20.93623856604902
Gros Morne National Park, NL, Canada:20.93623856604902
Happy Valley-Goose Bay, NL, Canada:19.697668576958616
Labrador City, NL, Canada:21.297554227580388
Lady Lake Astronomical Observatory, NL, Canada:18.90909764954656
Lewisporte, NL, Canada:20.472294485256487
Musgrave Harbour, NL, Canada:21.36659314976658
Sandbanks Provincial Park, NL, Canada:21.539679205227355
Three dog Observatory, NL, Canada:20.93623856604902
Twillingate, NL, Canada:20.80814897795602
Twillingate Astronomical Observatory, NL, Canada:20.80814897795602
Fort Providence, NT, Canada:20.486998207156397
Fort Smith, NT, Canada:18.169797270062585
Inuvik, NT, Canada:16.943879664311748
Trout Lake, NT, Canada:20.93623856604902
Yellowknife, NT, Canada:18.679727573866018
